{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_outputsize_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_outputsize_2': 64, 'dropout_p': 0.2, 'seed': 4, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23219,  6088,  3385,  2428,  1947,  1622,  1333,  1032,   853,
         626,   502,   369,   296,   207,   138,    92,    74,    64,
          34,    26,    23,    14,     8,    16])}
     train: epoch 65 loss 0.571713  auc  0.7645  rmse  0.1148  df(ActivateDay.Avg) 0.0439
               valid loss 16.608874  auc  0.7696  rmse  0.1140  df(ActivateDay.Avg) 0.0476
     train: epoch 66 loss 0.570796  auc  0.7637  rmse  0.1148  df(ActivateDay.Avg) 0.0435
               valid loss 15.960076  auc  0.7707  rmse  0.1146  df(ActivateDay.Avg) 0.1516
     train: epoch 67 loss 0.572779  auc  0.7629  rmse  0.1150  df(ActivateDay.Avg) 0.0429
               valid loss 16.186980  auc  0.7709  rmse  0.1144  df(ActivateDay.Avg) 0.1178
     train: epoch 68 loss 0.571269  auc  0.7642  rmse  0.1148  df(ActivateDay.Avg) 0.0428
               valid loss 16.700569  auc  0.7706  rmse  0.1139  df(ActivateDay.Avg) 0.0238
     train: epoch 69 loss 0.571941  auc  0.7634  rmse  0.1149  df(ActivateDay.Avg) 0.0420
               valid loss 15.968083  auc  0.7718  rmse  0.1142  df(ActivateDay.Avg) 0.1439
     train: epoch 70 loss 0.571902  auc  0.7634  rmse  0.1149  df(ActivateDay.Avg) 0.0443
               valid loss 16.830769  auc  0.7703  rmse  0.1139  df(ActivateDay.Avg) 0.0128
     train: epoch 71 loss 0.571178  auc  0.7636  rmse  0.1148  df(ActivateDay.Avg) 0.0432
               valid loss 16.709846  auc  0.7696  rmse  0.1140  df(ActivateDay.Avg) 0.0323
     train: epoch 72 loss 0.571407  auc  0.7648  rmse  0.1148  df(ActivateDay.Avg) 0.0447
               valid loss 16.994417  auc  0.7708  rmse  0.1139  df(ActivateDay.Avg) 0.0174
     train: epoch 73 loss 0.572083  auc  0.7640  rmse  0.1149  df(ActivateDay.Avg) 0.0447
               valid loss 16.715950  auc  0.7702  rmse  0.1138  df(ActivateDay.Avg) 0.0287
     train: epoch 74 loss 0.571247  auc  0.7638  rmse  0.1148  df(ActivateDay.Avg) 0.0439
               valid loss 16.051470  auc  0.7704  rmse  0.1142  df(ActivateDay.Avg) 0.1349
     train: epoch 75 loss 0.571230  auc  0.7633  rmse  0.1148  df(ActivateDay.Avg) 0.0434
               valid loss 16.789215  auc  0.7709  rmse  0.1138  df(ActivateDay.Avg) 0.0163
     train: epoch 76 loss 0.570319  auc  0.7641  rmse  0.1147  df(ActivateDay.Avg) 0.0438
               valid loss 16.453528  auc  0.7712  rmse  0.1139  df(ActivateDay.Avg) 0.0611
     train: epoch 77 loss 0.570915  auc  0.7650  rmse  0.1148  df(ActivateDay.Avg) 0.0454
               valid loss 17.620212  auc  0.7710  rmse  0.1148  df(ActivateDay.Avg) 0.1077
     train: epoch 78 loss 0.570722  auc  0.7638  rmse  0.1147  df(ActivateDay.Avg) 0.0436
               valid loss 16.082835  auc  0.7708  rmse  0.1141  df(ActivateDay.Avg) 0.1246
     train: epoch 79 loss 0.571439  auc  0.7636  rmse  0.1148  df(ActivateDay.Avg) 0.0438
               valid loss 16.974054  auc  0.7706  rmse  0.1141  df(ActivateDay.Avg) 0.0157
     train: epoch 80 loss 0.572764  auc  0.7636  rmse  0.1150  df(ActivateDay.Avg) 0.0443
               valid loss 16.725948  auc  0.7711  rmse  0.1137  df(ActivateDay.Avg) 0.0239
     train: epoch 81 loss 0.571842  auc  0.7638  rmse  0.1149  df(ActivateDay.Avg) 0.0441
               valid loss 17.266160  auc  0.7708  rmse  0.1141  df(ActivateDay.Avg) 0.0489
     train: epoch 82 loss 0.572190  auc  0.7638  rmse  0.1149  df(ActivateDay.Avg) 0.0426
               valid loss 17.058726  auc  0.7697  rmse  0.1141  df(ActivateDay.Avg) 0.0241
     train: epoch 83 loss 0.571040  auc  0.7657  rmse  0.1148  df(ActivateDay.Avg) 0.0446
               valid loss 17.277952  auc  0.7706  rmse  0.1141  df(ActivateDay.Avg) 0.0459
     train: epoch 84 loss 0.570576  auc  0.7653  rmse  0.1147  df(ActivateDay.Avg) 0.0453
               valid loss 16.965139  auc  0.7712  rmse  0.1140  df(ActivateDay.Avg) 0.0150
     train: epoch 85 loss 0.572668  auc  0.7633  rmse  0.1149  df(ActivateDay.Avg) 0.0440
               valid loss 16.823493  auc  0.7715  rmse  0.1138  df(ActivateDay.Avg) 0.0081
     train: epoch 86 loss 0.572314  auc  0.7632  rmse  0.1149  df(ActivateDay.Avg) 0.0423
               valid loss 16.396471  auc  0.7698  rmse  0.1142  df(ActivateDay.Avg) 0.0824
     train: epoch 87 loss 0.570419  auc  0.7639  rmse  0.1147  df(ActivateDay.Avg) 0.0439
               valid loss 16.956951  auc  0.7703  rmse  0.1141  df(ActivateDay.Avg) 0.0011
     train: epoch 88 loss 0.570612  auc  0.7643  rmse  0.1147  df(ActivateDay.Avg) 0.0432
               valid loss 16.757641  auc  0.7699  rmse  0.1140  df(ActivateDay.Avg) 0.0134
     train: epoch 89 loss 0.571028  auc  0.7641  rmse  0.1148  df(ActivateDay.Avg) 0.0435
               valid loss 15.559315  auc  0.7705  rmse  0.1149  df(ActivateDay.Avg) 0.2174
     train: epoch 90 loss 0.571160  auc  0.7638  rmse  0.1148  df(ActivateDay.Avg) 0.0439
               valid loss 16.235538  auc  0.7714  rmse  0.1140  df(ActivateDay.Avg) 0.0981
     train: epoch 91 loss 0.571599  auc  0.7640  rmse  0.1148  df(ActivateDay.Avg) 0.0444
               valid loss 16.173139  auc  0.7691  rmse  0.1143  df(ActivateDay.Avg) 0.1152
     train: epoch 92 loss 0.572101  auc  0.7647  rmse  0.1149  df(ActivateDay.Avg) 0.0441
               valid loss 16.916435  auc  0.7709  rmse  0.1139  df(ActivateDay.Avg) 0.0050
     train: epoch 93 loss 0.570635  auc  0.7635  rmse  0.1147  df(ActivateDay.Avg) 0.0442
               valid loss 16.669257  auc  0.7700  rmse  0.1139  df(ActivateDay.Avg) 0.0351
     train: epoch 94 loss 0.570066  auc  0.7653  rmse  0.1147  df(ActivateDay.Avg) 0.0456
               valid loss 17.184906  auc  0.7699  rmse  0.1141  df(ActivateDay.Avg) 0.0404
     train: epoch 95 loss 0.572042  auc  0.7643  rmse  0.1149  df(ActivateDay.Avg) 0.0434
               valid loss 16.228462  auc  0.7698  rmse  0.1142  df(ActivateDay.Avg) 0.1086
     train: epoch 96 loss 0.571648  auc  0.7625  rmse  0.1148  df(ActivateDay.Avg) 0.0432
               valid loss 17.317388  auc  0.7704  rmse  0.1143  df(ActivateDay.Avg) 0.0640
     train: epoch 97 loss 0.571810  auc  0.7640  rmse  0.1149  df(ActivateDay.Avg) 0.0438
               valid loss 16.997268  auc  0.7709  rmse  0.1139  df(ActivateDay.Avg) 0.0127
     train: epoch 98 loss 0.571800  auc  0.7629  rmse  0.1149  df(ActivateDay.Avg) 0.0418
               valid loss 16.440959  auc  0.7707  rmse  0.1139  df(ActivateDay.Avg) 0.0665
     train: epoch 99 loss 0.571945  auc  0.7643  rmse  0.1149  df(ActivateDay.Avg) 0.0447
               valid loss 17.303494  auc  0.7715  rmse  0.1141  df(ActivateDay.Avg) 0.0621
best_epoch:  11.0000
best_valid_auc 0.7719 best_valid_rmse 0.1137 best_valid_df 0.0566 
best_auc 0.7711 rmse 0.1138 df 0.0617
